Incident Description,Risk Level
"Troops of Operation “HADIN KAI’’ supported by CJTF members conducted a clearance operation at 
an insurgents’ hideout in Garin Fallujah, Ukuba general area, Bama LGA, Borno State. Four insurgents were killed. ",high
" Troops of Operation “MOUNTAIN SANITY II” and “HADIN KAI’’ supported by vigilantes ambushed and 
engaged JAS insurgents in a firefight along the Pulka-Bulongu Road, Gwoza LGA, Borno State. Two insurgents were 
killed.
",high
" Members of the NLC and the TUC held a protest at the Yola Electricity Distribution Company 
(YEDC) in Yola, Yola North LGA, Adamawa State, over the electricity tariff hike and removal of the subsidy from 
the power sector by the Federal Government.",high
"Troops of Operation “DESERT SANITY III” on clearance operations engaged JAS insurgents in a firefight at their hideouts in Shababul Umma, Garin Panel Beater, and Lagara Anguwan Gwaigwai, Gwoza LGA, Borno State. An unspecified number of insurgents including one of their commanders were killed, an unspecified number of insurgents escaped with gunshot wounds, and at least 14 abducted victims were rescued.",high
"ISWAP insurgents attacked a civilian convoy in the vicinity of Daral Jamal village, along the Bama-Banki Road, Bama LGA, Borno State. Two people were killed, and three others were injured.",high
"ISWAP insurgents were sighted in the vicinity of Joka Adamti village in Mobbar LGA, Borno State. No further details.",high
" Troops of Operation “HADIN KAI” ambushed and engaged JAS insurgents in a firefight in 
Dumbari, Konduga LGA, Borno State. One insurgent was killed, and 17 rounds of 7.62MM ammunition were 
recovered. ",high
" Troops of Operation “HADIN KAI” and members of the CJTF killed six ISWAP insurgents in 
Goniri, Damboa LGA, Borno State.
",high
" Troops of Operation “HADIN KAI” supported by members of the CJTF engaged AOG 
insurgents in a firefight along the Yuwe-Komala Road in Bama LGA, Borno State. Four abducted victims were 
rescued.
",high
"Bandits attacked a military camp in Yar Malamai, Faskari LGA, Katsina State. GSF personnel supported by the air component of the Nigerian Air Force (NAF) and vigilantes engaged the bandits in a firefight. At least six people including five GSF personnel and one vigilante were killed, and 11 GSF personnel were injured.",high
"Gunmen abducted one person and stole a vehicle in Ushafa, Bwari Area Council, Abuja.",high
" Residents of Sabon Garin community held a protest along the Gusau-Kaura Namoda Road in Kaura 
Namoda LGA, Zamfara State, over bandits’ attack on the community on 15May24. The protesters blocked the 
road resulting in traffic gridlock.",high
"Retired police officers registered under the Contributory Pension Scheme held a protest at the National Assembly complex, Three Arms Zone, AMAC, Abuja, over unpaid pension arrears and called on the Federal Government to remove them from the Contributory Pension Scheme.",high
" Bandits fired indiscriminately in Sabon Garin, Kaura Namoda LGA, Zamfara State. One person was 
killed, and an unspecified number of people including women and children were abducted.",high
" GSF personnel on clearance operations ambushed and engaged bandits in a firefight in Kwaga village, 
Birnin Gwari LGA, Kaduna State. One bandit was killed, an unspecified number of bandits escaped with gunshot 
wounds, and two AK-47 rifles with magazines, and motorbikes were recovered.",high
"A man set fire to a mosque in Laraba Abasawa, Gezawa LGA, Kano State, over a prolonged family dispute with relatives who are worshippers at the mosque. At least 24 people were injured.",high
" There was a firefight between two bandit groups at Marina Camp, Safana LGA, Katsina State. At least five bandits including one of their commanders were killed.",high
" Bandits attacked Yar-Malamai village in Faskari LGA, Katsina State. At least 80 people were abducted, and food supplies and valuables were looted.",high
"Bandits attacked Gidan Shaho in the Nasarawa area of Zurmi LGA, Zamfara State. Two GSF personnel were killed, and an unspecified number of people were injured.",high
"Bandits killed three people in Jangebe community, Talata Mafara LGA, Zamfara State.",high
"Members of the NLC and the TUC held a protest at the Kaduna Electricity Distribution Company in Kaduna, Kaduna North LGA, Kaduna State, over the electricity tariff hike and removal of the subsidy from the power sector by the Federal Government.",high
"Gunmen attacked a residence in Anguwan Rimi village, Zango Kataf LGA, Kaduna State. A soldier was shot and killed for resisting abduction, and his stepmother was abducted.",high
"Bandits fired indiscriminately in Yarmalamai town in Faskari LGA, Katsina State. An unspecified number of people were killed, and houses were set on fire.",high
" Bandits attacked a military camp in Yar Malamai, Faskari LGA, Katsina State. GSF personnel 
supported by the air component of the Nigerian Air Force (NAF) and vigilantes engaged the bandits in a firefight. 
At least six people including five GSF personnel and one vigilante were killed, and 11 GSF personnel were injured.",high
"Bandits ambushed troops of Operation “HADARIN DAJI” in Kuran Mota village, Bungudu LGA, Zamfara State. At least four GSF personnel were killed, and three GSF personnel were injured.",high
"There was an armed clash between GSF personnel and bandits in the Magazu axis, Chafe LGA, Zamfara State. No further details.",high
"GSF personnel on clearance operations engaged bandits in a firefight in Tumburku and Sabon Sara villages, Giwa LGA, Kaduna State. Two bandits were killed, and a motorcycle, a mobile phone, gas lighters, and tobacco were recovered.",high
"GSF personnel on clearance operations engaged bandits in a firefight at Basurfe village, Kindandan, Giwa LGA, Kaduna State. Two AK-47 rifles, one pump action rifle, three magazines, 16 rounds of ammunition, one IED, two radios, and one motorcycle were recovered.",high
"An unspecified number of people were reportedly abducted along the Mayanchi axis of the Gusau/Sokoto Road in Maru LGA, Zamfara State. No further details.",high
"There was a firefight between two bandit groups near the Sunke forest in Anka LGA, Zamfara State. At least 24 bandits were killed.",high
"Bandits attacked Kanwa village in Zurmi LGA, Zamfara State. Two people were killed, and 30 people were abducted.",high
"Gunmen attacked a herders' settlement in Janjala community in Kagarko LGA, Kaduna State. Two people were injured, and five others were abducted.",high
"Bandits attacked Barnawa village in Dogon Kade district, Kaura Namoda LGA, Zamfara State. Vigilantes were deployed to the area and engaged the bandits in a firefight. No further details.",high
" Bandits attacked ?ar Galadima village in Marabu, Maru LGA, Zamfara State. An unspecified number of people were killed and injured. Vigilantes and members of the Zamfara State Community Protection Guards (ZSCPG) were deployed to the area and engaged the bandits in a firefight. ",high
" Bandits mounted an Illegal Vehicle Check Point (IVCP) along the Anka-Begega Road, Anka LGA,
Zamfara State. Commuters were robbed of their valuables",high
"Bandits abducted 17 people in the Solar general area, Batsari LGA, Katsina State. GSF personnel supported by vigilantes were deployed to the location and engaged the bandits in a firefight. The abductees were rescued.",high
"Bandits attacked Dambar Dikko village in Illela LGA, Sokoto State. Two people were killed, and four people were abducted.",high
"Bandits attacked Gora, Madomawa, and Jambuzu villages, Zurmi LGA, Zamfara State. At least 120 people were abducted, and an unspecified number of others are reported missing.",high
"Bandits abducted 15 passengers from a truck along the Kaura Namoda Road in Kaura Namoda LGA, Zamfara State.",high
"Increased tensions were reported at the Imo State University (IMSU), Uturu, Okigwe LGA, Imo State, following indiscriminate gunfire between “Aiye” and “Eiye” cult gangs. No further details.",high
"Gunmen abducted a Catholic Priest along the Eke Nkpor-Obosi Bypass, Idemili North LGA, Anambra State",high
"Gunmen attacked a police station in the vicinity of Premier Junction in Umabor Eha-Alumona, Nsukka LGA, Enugu State. Two policemen were killed.",high
" There was a violent clash between Isu community in Arochukwu LGA, Abia State, and Ukwa community in Cross River State, following a land dispute. One woman was killed, and 15 people were injured",high
"There was a violent clash between the “Vikings” and the “Aiye” cult gangs in Edem Nike, Enugu East LGA, Enugu State. One gang member was shot and injured.",high
"Gunmen attacked an army checkpoint at Orba community in Udenu LGA, Enugu State. One policeman and one Federal Road Safety Corps (FRSC) officer were killed, an unspecified number of policemen and FRSC officials were injured, and a van belonging to the FRSC and a Hilux van reportedly belonging to the traditional ruler of Egali Amalla community in the LGA were set on fire.",high
"Cult gang members were sighted in hotels in New Havens and Ngwo, Enugu North LGA, Enugu State. No further details.",high
"There was a violent clash between the “Vikings” and the “Aiye” cult gangs in Ibagwa Nike, Enugu East LGA, Enugu State. One person was killed.",high
"Gunmen traveling in three vehicles fired indiscriminately at policemen at a checkpoint along the Presidential Road in Enugu North LGA, Enugu State. The attack resulted in a firefight with the policemen before the gunmen withdrew. At least two policemen and an unspecified number of gunmen were injured, and one of the vehicles was recovered.",high
"Gang members fired indiscriminately in the vicinity of the Orji Flyover, Owerri North LGA, Imo State",high
"There was a violent clash between the “KK” and the “Aiye” cult gangs at the Akwa Ibom State University (AKSU) in Ikot Akpaden, Mkpat Enin LGA, Akwa Ibom State.",high
"There was a communal clash between Evbuomoma and Evbuabogun communities in Ikpoba Okha LGA, Edo State. One person was killed.",high
"There was a violent clash between “KK” and “Vikings” cult gangs in the vicinity of Urua Ekpa, Itu LGA, Akwa Ibom State. One person was killed.",high
"Increased tensions were reported in Ashaka community, Ndokwa East LGA, Delta State, following indiscriminate gunfire by unidentified armed men during the ongoing PDP councillorship primary election.",high
"Residents of the Nsukwa clan in Aniocha South LGA held a protest at Government House in Asaba, Oshimili South LGA, Delta State, over the alleged imposition of a Local Government chairmanship candidate.",high
"Gunmen ambushed a Toyota Coaster bus transporting employees of a cement company travelling to Okpella community along the Okpella-Okene Road in Etsako East LGA, Edo State. An unspecified number of employees were abducted.",high
"Gunmen suspected to be Ijaw Freedom Fighters attacked Marioghionoba community in Okomu, Ovia South West LGA, Edo State. One person was killed, another was injured, five cars and two lorries were set on fire, and houses were destroyed. The gunmen reportedly left an unsigned handwritten letter on the deceased asking for 25% shares in Okomu Oil and demanded to be on the board of the company.",high
"Members of the NLC and the TUC held a protest at the Benin Electricity Distribution Company (BEDC) in Benin, Oredo LGA, Edo State, over the electricity tariff hike and removal of the subsidy from the power sector by the Federal Government.",high
"There was a violent clash between “Aiye” and “Eiye” cult gangs in Kwale, Ndokwa West LGA, Delta State. One person (the crowned prince) was shot and injured.",high
"Leaders of the All Progressives Congress (APC) and the People’s Democratic Party (PDP) held a 
protest at the State House of Assembly complex in Port Harcourt, Port Harcourt LGA, Rivers State, over plans 
by the State Government to demolish the structures in the complex which were reportedly in excellent 
condition, fully functional, and are currently occupied by the lawmakers and their family.",high
"Gunmen attacked Mbiaong Ukwa community in Odukpani LGA, Cross River State. Five people were killed, an unspecified number of people were injured, and houses were vandalized",high
"Gunmen abducted an unspecified number of students in the vicinity of Ewreni Junction, along the EastWest Road, Ughelli North LGA, Delta State. A 10-million-naira ransom has been demanded for their release.",high
"Unidentified armed men fired indiscriminately in Choba, Obio-Akpor LGA, Rivers State. An unspecified number of people were injured.",high
"There was a violent clash between the “Aiye” and the “Eiye” cult gangs in Ikorodu, Ikorodu LGA, Lagos State. An unspecified number of people were killed.",high
"Gang members attacked a pastor for preaching against cultism and gang violence in Festac, AmuwoOdofin LGA, Lagos State. Community members rescued the pastor.",high
"“Aiye” gang members attacked the residence of an “Eiye” gang member in the Bode Olude area of Abeokuta North LGA, Ogun State. The “Eiye” gang member was not at home but his friend at home was killed. Community members trailed one of the “Aiye” gang members and killed him. One of the gang members was later arrested.",high
"There was a violent clash between the “Yahoo” and the “Emir” factions of the “Aiye” cult gang at Egbatedo Street in Osogbo, Osogbo LGA, Osun State, following a land ownership dispute. Members of the “Yahoo” faction armed with axes and mounted on motorcycles later moved to the Fagbewesa and Station Roads in Osogbo in search of members loyal to the Emir faction. No further details",high
"Members of the NLC and the TUC held a protest at the Ibadan Electricity Distribution Company (IBEDC) in Ibadan, Ibadan South West LGA, Oyo State, over the electricity tariff hike and removal of the subsidy from the power sector by the Federal Government.",high
"Members of the NLC and the TUC held a protest at the Ikeja Electricity Distribution Company (IKEDC) in Ikeja, Ikeja LGA, Lagos State, over the electricity tariff hike and removal of the subsidy from the power sector by the Federal Government.",high
"There was a violent clash between the “Aiye” and the “Eiye” cult gangs in the Oke-lantoro area in Abeokuta, Abeokuta North LGA, Ogun State. One person was killed",high
"Unidentified armed men attacked a man in front of his home in the vicinity of Ikenne, Ikenne LGA, Ogun State. His vehicle was stolen with his child in it.",high
"There was a violent clash between the “Aiye” and the “Eiye” cult gangs in Igbesa, Ado-Odo/Ota LGA, Ogun State. One person was killed.",high
"An unidentified armed man stabbed and injured a non-academic employee of the Osun State Polytechnic during an examination in Iree, Boripe LGA, Osun State.",high
"Gang members fired indiscriminately in Agric, Ojo LGA, Lagos State. No further details.",high
"There was an armed clash between personnel of the Nigeria Customs Service (NCS) attached to the Customs Mechanical Unit in Karu Barracks, Abuja, and Vehicle Inspection Officers (VIO) at the AYA Roundabout near the VIO Office, AMAC, Abuja. No further details",high
"GSF personnel conducted clearance operations at criminals’ hideouts in Bwari Area Council, Abuja. A kidnappers’ informant and two accomplices were arrested.",high
"Armed robbers attacked a hotel at 1st Avenue, Gwarimpa, AMAC, Abuja. An unspecified number of guests were stabbed and injured, and valuables were stolen.",high
"Members of the Northern Nigeria Peace and Development Foundation held a protest at the Presidential Villa and the National Assembly Complex in AMAC, Abuja, over the ongoing crisis over Kano Emirate. The protesters were calling on the President to intervene",high
"Armed robbers stole a vehicle in Gwarimpa, AMAC, Abuja. Policemen recovered the vehicle in One Man village, Karu LGA, Nasarawa State, the next day.",high
"Students attending the University of Jos (UNIJOS) held a protest at the headquarters of the Jos Electricity Distribution Company (JEDCO) along the Ahmadu Bello Way, Jos North LGA, Plateau State, over the disconnection of electricity supply to the institution. The protesters barricaded the entrance of the office.",high
"GSF personnel engaged kidnappers in a firefight in Ukum, Ukum LGA, Benue State. Three kidnappers were shot and killed, two abducted victims were rescued, and weapons, mobile phones, and motorcycles were recovered.",high
"Members of the Association of Hotel Owners held a protest at the office of the Nigeria Electricity Regulation Commission (NERC) along Stadium Road, Ilorin East LGA, Kwara State, over the increase of the electricity tariff by the Ibadan Electricity Distribution Company (IBEDC).",high
"Policemen engaged suspected kidnappers in a firefight in the vicinities of Ankumi forest and Obajana, Obajana LGA, Kogi State. Two kidnappers were killed, and one AK variant rifle, two magazines, and two rounds of ammunition were recovered.",high
"Gunmen attacked and destroyed farmlands in Tilenpaat and Pulshit in Mangu LGA, Plateau State. Four people were killed.",high
"Gunmen attempted to abduct residents of Ubbe, Akun Development Area in Nasarawa Eggon LGA, Nasarawa State. Two people were killed for resisting abduction.",high
" Armed men suspected to be youths from Alia community attacked Omukwidi and Edeje communities in Agatu LGA, Benue State. At least 10 people were killed, and an unspecified number of houses were set on fire. The attack is related to the communal clash between Egba/Ologba and Abugbe/Agbaduma communities. ",high
"Bandits killed a veterinary doctor of the Agricultural Department in Munya LGA, Niger State.",high
"Gunmen attacked a commercial bus in the North Bank area, Makurdi LGA, Benue State. Three people were abducted, and an unspecified number of others were injured.",high
"Herders attacked the convoy of a member of the Benue State House of Assembly along Kilometre 16 on the Makurdi-Gboko Road, Katsina-Ala LGA, Benue State. No further details.",high
"At least 300 bandits attacked Kuchi community in Munya LGA, Niger State. Eight people were killed and at least 200 people were abducted.",high
"“Aye” gang members in two vehicles shot and injured a “Vikings” cult member at his shop in Rantiya, Jos South LGA, Plateau State. The victim was taken to the hospital by community members",high
"There was a violent clash between members of the “Vikings” and the “Aye” cult gangs in Jenta Adamu, Jos, Jos North LGA, Plateau State. The clash started on 23May24 when one cult gang member was killed.",high
"Gunmen attacked Ugya community in Toto LGA, Nasarawa State. At least seven people were killed, and three vehicles were set on fire, and food supplies, drugs, and valuables were looted.",high
"There was a violent clash between operatives of Nigeria Customs Service and youths of Wuro Patuji in Mubi South LGA, Adamawa State, after the custom officials fired shots at a vehicle conveying smuggled petrol. Soldiers were deployed to the location to restore order.",high
"ISWAP insurgents mounted an Illegal Vehicle Checkpoint (IVCP) in the vicinity of Mairari village along the Monguno-Gajiram Road, Guzamala LGA, Borno State. No further details.",high
"The air component of Operation “HADIN KAI” conducted air raids targeted at a previously abandoned AOG insurgents’ hideout in Tumbun Fulani, near Lake Chad in Abadam LGA, Borno State. No further details.",high
"Members of the Civilian Joint Task Force (CJTF) on patrol drove over a Road-Planted IED deployed by JAS insurgents along the Maiduguri-Damboa Road in Damboa LGA, Borno State. At least one CJTF member was killed, and four CJTF members were injured.",high
"ISWAP insurgents attacked GSF personnel and CJTF in the vicinity of Bula Yobe, along the Banki-Bama Road, Bama LGA, Borno State. Two people including one GSF personnel and one CJTF member, and one other CJTF member were injured.",high
"Unidentified armed men burgled houses in the vicinity of Rafin Zurfi, Bauchi LGA, Bauchi State. An undisclosed amount of money was stolen.",high
"Unidentified armed men burgled three houses in New Bra Bra Estate, Damaturu LGA, Yobe State. Mobile phones, electronic gadgets, and other valuables were stolen.",high
"ISWAP insurgents attacked a GSF position resulting in a firefight in the Mairamri area along the Konduga-Bama Road in Konduga LGA, Borno State. No further details.",high
"ISWAP insurgents attacked two GSF positions in Buni Yadi and Buni Gari towns, Gujba LGA, Yobe State. The attack resulted in a firefight until they withdrew. A vigilante outpost was set on fire.",high
"ISWAP insurgents abducted four people near a river in the Mairamri area, Konduga LGA, Borno State.",high
"ISWAP insurgents deployed VBIED and PBIED and attacked an MNJTF position in the Lake Chad area of Abadam LGA, Borno State. Three GSF personnel were killed and an unspecified number of GSF personnel and three hunters were injured.",high
"AOG insurgents attacked a residence in the Nasarawa ward of Damaturu town, Damaturu LGA, Yobe State. A security guard was injured, and mobile phones were stolen.",high
"One person was killed at Wuru Gude in Mubi North LGA, Adamawa State, following an altercation.",high
"Bandits fired indiscriminately while attempting to abduct the Chairman of the Zamfara State Hajj Commission at his residence in Gusau town, Gusau LGA, Zamfara State. His son was killed, and an unspecified number of people including relatives of the Chairman were abducted.",high
"GSF personnel on clearance operations engaged bandits in a firefight at Galadimawa Market Square in Giwa LGA, Kaduna State. At least six bandits were killed, three suspected collaborators and informants were arrested, and two motorcycles and four mobile phones were recovered.",high
"Bandits attacked a weekly market, located at Maro Junction, Maro Ward, Kajuru LGA, Kaduna State. 12 people were killed, and 20 people were injured.",high
"The air component of Operation “HADARIN DAJI” conducted air raids targeted at bandits’ hideouts in Bakai, Bakarya, and Yartsintsiya in Kankara LGA, Katsina State. 30 bandits were killed, and an unspecified number of bandits were injured",high
"Vigilantes engaged bandits who were attempting to invade Kiratawa village in Safana LGA, Katsina State, in a firefight. 25 bandits were killed, an unspecified number of bandits escaped with gunshot wounds, and rifles and motorcycles were recovered.",high
"Bandits fired indiscriminately in Anguwan Wake village, Agunu ward, Kachia LGA, Kaduna State. Two people were killed, and an unspecified number of people abducted.",high
"Bandits attacked Rini and Birnin Tudu communities in Bakura LGA, Zamfara State. Five people were killed, and an unspecified number of people abducted.",high
"Bandits attacked Asarawa village in Tangaza LGA, Sokoto State. Five people were killed, and nine people were abducted.",high
"Bandits abducted an unspecified number of people in Garin Idi, Sabon Birni LGA, Sokoto State.",high
"Policemen conducted clearance operations on criminal hideouts in Dutse LGA, Jigawa State. 85 criminals were arrested.",high
"Civil servants held a protest on the premises of a commercial bank in Sokoto North LGA, Sokoto State, over the bank’s inability to pay their monthly salary saved there.",high
"Bandits mounted an Illegal Vehicle Check Point (IVCP) along the Tsafe-Gusau Road in Chafe LGA, Zamfara State. No further details.",high
"Bandits attacked Karakkai village in Bungudu LGA, Zamfara State, and killed five people.",high
"GSF personnel conducted clearance operation at bandits’ hideout in Nasarawa Azzara-Dogon-Fili community, Kachia LGA, Kaduna State. Three bandits were killed.",high
"Unidentified armed men abducted a woman from her residence at Alu Quarters, Bado residential area, on the outskirts of Sokoto metropolis, Wammako LGA, Sokoto State.",high
"Bandits attacked Tara village in Sabon Birni LGA, Sokoto State. Three people were killed, and an unspecified number of people were abducted.",high
"Residents of Kano held a protest in Kano Municipal LGA, Kano State, over the dissolution of their emirate. The protesters alleged that the dissolution was politically motivated.",high
"Herders attacked and injured five farmers in Hayin Kogi Forest, Birni Kudu LGA, Jigawa State.",high
"Bandits attacked Unguwar Lamido village in Bakori LGA, Katsina State, and killed 11 people",high
"Bandits attacked Sebori community in Kaura Namoda LGA, Zamfara State, and killed two people.",high
"GSF personnel ambushed and engaged bandits in a firefight at Kidandan, Katoge, Basurfe, and Yuna villages in Giwa LGA, Kaduna State. One bandit was killed, and one motorcycle and firearms were recovered.",high
"GSF personnel ambushed and engaged bandits in a firefight in Saulawa village, Birnin Gwari LGA, Kaduna State. At least five bandits were killed, and one AK-47 rifle, one G3 rifle, and nine motorbikes were recovered.",high
"At least 15 IPOB/ESN members enforcing the sit-at-home exercise to mark the Biafra Day attacked a GSF checkpoint at the Obikabia Junction in Obingwa LGA, Abia State. At least four soldiers were killed, an unspecified number escaped with gunshot wounds, and a patrol van was set on fire.",high
"IPOB/ESN members enforcing the sit-at-home exercise to mark the Biafra Day set fire to vehicles and tricycles in Igbo Eze South LGA, Enugu State.",high
"IPOB/ESN members enforcing the sit-at-home exercise to mark the Biafra Day attacked Okwe community, Onuimo LGA, Imo State. Two people were shot and killed.",high
"Gunmen suspected to be members of IPOB/ESN enforcing the sit-at-home exercise fired indiscriminately in Ibagwa Aka community, Igbo-Eze South LGA, Enugu State. One person was killed by a stray bullet, and an unspecified number of vehicles were set on fire.",high
"There was a clash between the “Aye” and the “Vikings” cult gangs during the Umu-Okpo Day festival celebrations in Awka, Awka South LGA, Anambra State. One person was killed.",high
"Gunmen abducted two people at Nvene around Four Corners junction in Nkanu West LGA, Enugu State.",high
"Gunmen attacked Akpoha community in Afikpo LGA, Ebonyi State. At least three people were killed including a member of the State Neighbourhood Security Watch (NSW), and an unspecified number of people were injured while fleeing from the attack.",high
"Gunmen abducted the President of Enugu State University of Science and Technology (ESUT) Alumni Association, Enugu branch, and his son at Nachi in Udi LGA, Enugu State. UPDATE: 28May24 – The abducted victims were released.",high
"Gunmen shot and killed two students at the Bishop’s Court area, Owerri Municipal LGA, Imo State. Their valuables were also stolen.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs in Ekosodin, Ovia North-East LGA, Edo State. One person was shot and injured.",high
"Youths and traders held a protest in the Kpansia Market, Yenagoa LGA, Bayelsa State, over the alleged killing of a commercial taxi driver by a policeman in Azikoro town on 27May24.",high
"Retirees under the aegis of the Association of Agip Oil Pensioners held a protest at the company premises at the Mile Four axis in Port Harcourt, Port Harcourt LGA, Rivers State, over the failure of the management of the company to review their monthly pensions which have remained the same since 2009, and denial of their spouses' medical care and other welfare services. The protesters blocked the main entrance to the building",high
"Youths and women from the Kolo Creek Cluster communities of Elebele, Imiringi, Otuasega and Oruma in Ogbia LGA, Bayelsa State, held a protest at the Otuasega Manifold and the Kolo Creek Logistics Base operated by Shell Petroleum Development Company (SPDC) over the lingering lack of power supply in the communities while the logistics base enjoys uninterrupted power supply. The protesters shut down the facilities and demanded that the damaged generating sets previously supplying electricity to the communities be replaced with a 10-megawatt plant or a mini gas turbine for improved electricity supply.",high
"There was a violent clash between members of the “Aye” and the “Maphite” cult gangs in the vicinities of Mission Road and Ogunmwenyi in Benin City, Oredo LGA, Edo State. Two people were killed.",high
"Members of the “Maphite” cult gang reportedly killed one of their gang members at Ekiadolor in Ovia North-East LGA, Edo State.",high
"There was a violent clash between members of the “Maphite” and the “Aye” cult gangs along Wire Road in Ikpoba Okha LGA, Edo State. Two gang members were killed.",high
"A policeman reportedly shot and killed a commercial cab driver for refusing to pay a 100-naira bribe as demanded by the patrol team in Azikoro town, Yenagoa LGA, Bayelsa State.",high
"A lady was killed after she was robbed and pushed out of a moving tricycle at the Harbour Market along the Udu Road in Udu LGA, Delta State.",high
"Youths held a protest in Oron LGA, Akwa Ibom State, over increased kidnapping, and violent crimes in the coastal areas of the state.",high
"“Aye” gang members shot and killed a member of the “Vikings” cult gang in Obiaruku, Ukwuani LGA, Delta State",high
"Residents of Ayetoro community in Ilaje LGA, Ondo State, held a protest over the incessant ocean surge in the coastal community resulting from oil exploration in the area. The protesters stated that the N6.5billion shoreline project awarded by Niger Delta Development Commission (NDDC) 16 years ago to protect the community had still not been executed.",high
"A policeman fired shots in an attempt to disperse a mob and restore order at an accident scene in the Omisanjana area in Ado-Ekiti, Ado-Ekiti LGA, Ekiti State. Two people were killed by stray bullets.",high
"There was a violent clash between the “KK” and the “Eiye” cult gangs at Mile 12, Kosofe LGA, Lagos State. One “KK” gang member was killed.",high
"One member of the “Eiye” cult gang was mistakenly killed by fellow gang members in front of Iwo Road Shopping Complex, along Iwo Road, Ibadan North-East LGA, Oyo State.",high
"There was a violent clash between members of rival cult gangs at Iyana Isolo, Oshodi-Isolo LGA, Lagos state. One gang member was killed",high
"Members of the “Aye” cult gang killed one member of the “Eiye” cult gang in Ado-Ekiti, Ado Ekiti LGA, Ekiti State.",high
"Unidentified armed men attacked the Ipaja police station resulting in a firefight with the policemen in Ipaja, Alimosho LGA, Lagos State. An unspecified number of the armed men were injured.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in Magboro, Obafemi Owode LGA, Ogun State. No further details.",high
"There was a violent clash between the “Aye” and “Eiye” cult gang members at Ilaje, Volks bus stop, Ojo LGA, Lagos State. At least two gang members were killed.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs in Ile-Ife, Ife Central LGA, Osun State. No further details.",high
"Gunmen attacked a bus along the Irun/Imesi Ekiti Road, Irun Akoko, Akoko North-West LGA, Ondo State, and abducted at least 18 passengers. Four abducted victims later escaped.",high
"A mob assaulted and killed a student of the Ajayi Crowther University, Oyo town, Atiba LGA, Oyo State, for allegedly stealing a phone.",high
"Increased tensions were reported at the 3C HUB opposite North West filling station in Ajah, Eti-Osa LGA, Lagos State, following a violent clash between the “Aye” and the “Eiye” cult gangs. At least one person was killed.",high
"“Aye” gang members killed two “Eiye” members in Ijoko Ota, Ado-Odo/Ota LGA, Ogun State.",high
"There was a violent clash between members of the “Aye” and the “Eiye” cult gangs at the Corner side in Bodija Ashi, Ibadan North LGA, Oyo State. An unspecified number of people were injured.",high
"ISWAP insurgents mounted an Illegal Vehicle Checkpoint (IVCP) along the Gubio-Damasak Road in Challiguri village near Binduldul village, Gubio LGA, Borno State. The insurgents stole valuables including mobile phones and money from commuters.",high
"ISWAP insurgents abducted a man and stole an unspecified number of bicycles belonging to IDPs in the vicinity of Kumshe axis along the Banki-Kumshe Road, Bama LGA, Borno State. The abducted victim was later killed.",high
"ISWAP insurgents were sighted in a Toyota Hilux vehicle around the Geidam Chikun area of Mobbar LGA, Borno State. No further details.",high
"ISWAP insurgents ambushed GSF personnel in the vicinity of Daral Jamal village, Bama LGA, Borno State, and killed one GSF personnel",high
"Gunmen attacked a residence in Duwala settlement, Kirchinga ward, Madagali LGA, Adamawa State. One person was injured, and one other was abducted.",high
"ISWAP insurgents attacked a GSF position resulting in a firefight in Sabon Gari, Damboa LGA, Borno State.",high
"JAS insurgents killed two IDPs around the Ba'ale general area in Damboa LGA, Borno State.",high
"A commercial truck drove over a Road Planted IED (RPIED) deployed by ISWAP insurgents between Ajiri and Dikwa along the Dikwa-Ngala Road in Dikwa LGA, Borno State. The truck and goods were damaged.",high
"ISWAP insurgents attacked a GSF position in Malam Fatori town, Abadam LGA, Borno State. Five GSF personnel were killed, and nine GSF personnel were injured.",high
"Troops of Operation “DESERT SANITY III” and “HADIN KAI” in a combined operation engaged JAS insurgents in a firefight at Lawanti in Sambisa Forest, Gwoza LGA, Borno State, and killed at least six insurgents.",high
"GSF personnel ambushed and engaged insurgents in a firefight in the vicinities of Shettimari, Sabon-Gari, and Amarwa Bulamari in Bama LGA, Borno State. One insurgent was killed, and others escaped with gunshot wounds.",high
"Bandits fired indiscriminately in Takalmawa community, Isa LGA, Sokoto State. Four people were killed, 17 people were abducted, and at least 150 rams were rustled.",high
"Bandits abducted four people along the Kucheri-Magazu highway, Chafe LGA, Zamfara State.",high
"Troops of the Nigerian Army ambushed and engaged bandits in a firefight along the Udawa-Kurebe Road, Birnin Gwari LGA, Kaduna State. Five bandits were killed. One pump action gun, six cartridges, one empty AK-47 rifle magazine, one MP3 radio, one phone battery, two Baofeng radios, two Baofeng radio chargers, four memory cards, and two sim cards were recovered.",high
"Troops of the Nigerian Army ambushed and engaged bandits in a firefight at the Baka general area in Igabi LGA, Kaduna State. An unspecified number of bandits were killed.",high
"Troops of the Nigerian Army ambushed and engaged bandits in a firefight at Kwaga village in Birnin Gwari LGA, Kaduna State. Two bandits were killed, AK-47 rifles, two magazines and two motorcycles were recovered.",high
"Gunmen attacked Yaji community in Ankwa ward, Kachia LGA, Kaduna State. Two herders were killed, and an unspecified number of cattle were rustled",high
"Herders attacked and injured a farmer while he was going to his farm in Ala community, Alagbaka, Akure North LGA, Ondo State.",high
